make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
Toyota,Corolla,31.8162,Manual,6,FWD,2,4,Compact,Y,Natural,Regular,None,N
Toyota,Corolla XSE,33.6766,CVT,10,FWD,2,4,Compact,Y,Natural,Regular,None,N
Kia,Soul Eco dynamics,31.3493,CVT,1,FWD,2,4,Sm St Wagon,N,Natural,Regular,None,N
Jaguar,XE,28.4037,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
Jaguar,XE 30t,26.6827,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
Jaguar,XF AWD 30t,25.463,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Land Rover,Range Rover Velar P300,22.2506,Automatic,8,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
BMW,230i Coupe,27.2748,Automatic,8,RWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
Toyota,GR Supra,26.4025,Automatic,8,RWD,3,6,Two Seater,Y,Turbo,Premium,None,Y
BMW,M240i Coupe,24.9871,Automatic,8,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,440i Convertible,24.4977,Automatic,8,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
Acura,TLX FWD,26.9868,Manual,8,FWD,2.4,4,Compact,Y,Natural,Premium,None,N
Acura,TLX FWD A-SPEC,23.3109,Automatic,9,FWD,3.5,6,Compact,Y,Natural,Premium,None,N
Acura,TLX AWD,23.051,Automatic,9,AWD,3.5,6,Compact,Y,Natural,Premium,None,Y
Acura,TLX AWD A-SPEC,22.8512,Automatic,9,AWD,3.5,6,Compact,Y,Natural,Premium,None,Y
BMW,440i xDrive Coupe,24.8442,Automatic,8,AWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,440i xDrive Coupe,21.4433,Manual,6,AWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,440i Gran Coupe,24.9871,Automatic,8,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,440i xDrive Gran Coupe,24.8442,Automatic,8,AWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,M4 Coupe Competition,18.8151,Manual,7,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
Jeep,Gladiator Pickup 4WD,19.0841,Automatic,8,4WD,3.6,6,Std Pickup Truck,N,Natural,Regular,None,Y
Genesis,G70 RWD,24.8653,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
Hyundai,Veloster,28.9551,Manual,6,FWD,1.6,4,Compact,Y,Turbo,Regular,None,N
Toyota,Sienna AWD,20.1322,Automatic,8,AWD,3.5,6,Minivan,Y,Natural,Regular,None,N
Aston Martin,Vantage V8,20.4155,Automatic,8,RWD,4,8,Two Seater,N,Turbo,Premium,None,N
Hyundai,Accent,32.6036,Manual,6,FWD,1.6,4,Compact,N,Natural,Regular,None,N
Acura,RDX FWD,24,Automatic,10,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Acura,RDX FWD A-SPEC,23.6383,Automatic,10,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Hyundai,Kona AWD,27.5263,Automatic,6,AWD,2,4,Sm SUV,Y,Natural,Regular,None,N
Kia,Optima Hybrid,41.9107,Manual,6,FWD,2,4,Midsize,Y,Natural,Regular,Hybrid,Y
Hyundai,Tucson FWD,25.077,Automatic,6,FWD,2,4,Sm SUV,Y,Natural,Regular,None,N
Chevrolet,Spark,32.5457,Manual,5,FWD,1.4,4,Subcompact,N,Natural,Regular,None,N
Kia,Optima,27.2397,Automatic,6,FWD,2.4,4,Large,Y,Natural,Regular,None,N
Ford,Transit Connect Van 2WD,25.1953,Automatic,8,FWD,2,4,SPV,Y,Natural,Regular,None,Y
Ford,Transit Connect Van 2WD,22.2684,Automatic,6,FWD,2.5,4,SPV,N,Natural,Regular,None,N
Ford,Transit Connect Wagon LWB FWD,22.2055,Automatic,6,FWD,2.5,4,SPV,N,Natural,Regular,None,N
Ford,Transit Connect USPS,22.2684,Automatic,6,FWD,2.5,4,SPV,N,Natural,Regular,None,N
Hyundai,Santa Fe FWD,22.5215,Automatic,8,FWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Lexus,NX 300h AWD,31,CVT,6,AWD,2.5,4,Sm SUV,N,Natural,Regular,Hybrid,Y
Volvo,S60 FWD,27.389,Automatic,8,FWD,2,4,Compact,Y,Turbo,Premium,None,Y
Volvo,S90 AWD,24.7474,Automatic,8,AWD,2,4,Midsize,Y,Super+Turbo,Premium,None,Y
GMC,Terrain AWD,26.2618,Automatic,9,AWD,1.5,4,Sm SUV,Y,Turbo,Regular,None,Y
Mercedes-Benz,AMG GT Roadster,18.1314,Manual,7,RWD,4,8,Two Seater,Y,Turbo,Premium,None,Y
Buick,Encore AWD,25.8831,Automatic,6,AWD,1.4,4,Sm SUV,N,Turbo,Regular,None,N
Chevrolet,Traverse FWD,21.1648,Automatic,9,FWD,3.6,6,Std SUV,Y,Natural,Regular,None,Y
Nissan,Altima SR/Platinum,30.9338,CVT,1,FWD,2.5,4,Midsize,Y,Natural,Regular,None,N
Infiniti,QX60 AWD,21.6894,CVT,7,AWD,3.5,6,Sm SUV,Y,Natural,Premium,None,N
Lexus,LC 500h,29.6181,CVT,10,RWD,3.5,6,Subcompact,Y,Natural,Premium,Hybrid,Y
Hyundai,Elantra GT,27.489,Automatic,6,FWD,2,4,Large,Y,Natural,Regular,None,N
Buick,Regal TourX AWD,24.3822,Automatic,8,AWD,2,4,Sm St Wagon,Y,Turbo,Premium,None,N
Mitsubishi,Eclipse Cross ES 4WD,26.1535,CVT,8,4WD,1.5,4,Sm SUV,Y,Turbo,Regular,None,N
GMC,Yukon C1500 2WD,17.5914,Automatic,6,RWD,5.3,8,Std SUV,Y,Natural,Regular,FFV,N
GMC,Yukon C1500 XL 2WD,17.5914,Automatic,6,RWD,5.3,8,Std SUV,Y,Natural,Regular,FFV,N
Chevrolet,Tahoe K1500 4WD,16.9426,Automatic,6,4WD,5.3,8,Std SUV,Y,Natural,Regular,None,N
Chevrolet,Tahoe K1500 4WD,17.32,Automatic,6,4WD,5.3,8,Std SUV,Y,Natural,Regular,FFV,N
Audi,R8 Spyder AWD,15.9153,Manual,7,AWD,5.2,10,Two Seater,Y,Natural,Premium,None,N
Kia,Sorento FWD,21.667,Automatic,8,FWD,3.3,6,Sm SUV,Y,Natural,Regular,None,N
Fiat,124 Spider,29.2998,Automatic,6,RWD,1.4,4,Two Seater,N,Turbo,Premium,None,N
Genesis,G90 AWD,18.0062,Automatic,8,AWD,5,8,Large,Y,Natural,Premium,None,N
GMC,Canyon 4WD,22.3186,Automatic,6,4WD,2.8,4,Sm Pickup Truck,N,Turbo,Diesel,Diesel,Y
GMC,Yukon K1500 4WD,16.9426,Automatic,6,4WD,5.3,8,Std SUV,Y,Natural,Regular,None,N
Land Rover,Range Rover,24.3843,Automatic,8,4WD,3,6,Std SUV,N,Turbo,Diesel,Diesel,Y
Land Rover,Range Rover Sport,24.3843,Automatic,8,4WD,3,6,Std SUV,N,Turbo,Diesel,Diesel,Y
Land Rover,Range Rover LWB,18.0917,Automatic,8,4WD,5,8,Std SUV,Y,Super,Premium,None,Y
Land Rover,Range Rover Sport SVR,16.4401,Automatic,8,4WD,5,8,Std SUV,Y,Super,Premium,None,Y
BMW,Z4 sDrive30i,27.2748,Automatic,8,RWD,2,4,Two Seater,Y,Turbo,Premium,None,Y
Fiat,500 L,24.9382,Automatic,6,FWD,1.4,4,Sm St Wagon,N,Turbo,Premium,None,N
Ram,1500 4WD,18.7327,Automatic,8,4WD,5.7,8,Std Pickup Truck,N,Natural,Mid,Hybrid,Y
Jeep,Cherokee FWD,25.2188,Automatic,9,FWD,2.4,4,Sm SUV,N,Natural,Regular,None,Y
Jeep,Cherokee FWD,22.9779,Automatic,9,FWD,3.2,6,Sm SUV,N,Natural,Regular,None,Y
BMW,X4 M,16.1587,Automatic,8,AWD,3,6,Sm SUV,Y,Turbo,Premium,None,Y
Jeep,Cherokee 4WD,24.1812,Automatic,9,AWD,2.4,4,Sm SUV,N,Natural,Regular,None,Y
Porsche,Cayenne S,19.7414,Automatic,8,AWD,2.9,6,Std SUV,Y,Turbo,Premium,None,Y
Ferrari,GTC4Lusso T,16.994,Manual,7,RWD,3.9,8,Minicompact,Y,Turbo,Premium,None,Y
MINI,Cooper S Convertible,29.0313,Manual,7,FWD,2,4,Minicompact,Y,Turbo,Premium,None,N
BMW,840i Coupe,25.4747,Automatic,8,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M850i xDrive Coupe,20.3576,Automatic,8,AWD,4.4,8,Subcompact,Y,Turbo,Premium,None,Y
MINI,Cooper Hardtop 4 door,31.3799,Manual,7,FWD,1.5,3,Subcompact,Y,Turbo,Premium,None,Y
Mercedes-Benz,AMG GT 53 4matic Plus,20.9556,Automatic,9,4WD,3,6,Compact,Y,Natural,Premium,Hybrid,Y
BMW,530i xDrive,26.62,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Maserati,Ghibli SQ4,18.6881,Automatic,8,AWD,3,6,Midsize,Y,Turbo,Premium,None,Y
MINI,Cooper Countryman All4,27.3761,Automatic,8,AWD,1.5,3,Midsize,Y,Turbo,Premium,None,N
MINI,JCW Countryman All4,26.1323,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
GMC,Terrain FWD,24,Automatic,9,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Honda,Pilot FWD,22.7022,Automatic,9,FWD,3.5,6,Sm SUV,Y,Natural,Regular,None,N
Honda,Pilot AWD,22.0581,Automatic,9,AWD,3.5,6,Sm SUV,Y,Natural,Regular,None,N
Honda,Pilot AWD,21.1417,Automatic,6,AWD,3.5,6,Sm SUV,Y,Natural,Regular,None,N
BMW,X6 M50i,18.1312,Automatic,8,AWD,4.4,8,Std SUV,Y,Turbo,Premium,None,Y
BMW,X7 xDrive50i,17.2627,Automatic,8,AWD,4.4,8,Std SUV,Y,Turbo,Premium,None,Y
Dodge,Durango AWD,16.6887,Automatic,8,AWD,5.7,8,Std SUV,N,Natural,Mid,None,N
Land Rover,Discovery,17.7171,Automatic,8,4WD,3,6,Std SUV,Y,Super,Premium,None,Y
Maserati,Levante S,17.1134,Automatic,8,AWD,3,6,Std SUV,Y,Turbo,Premium,None,Y
Maserati,Levante Trofeo,15.3607,Automatic,8,AWD,3.8,8,Std SUV,Y,Turbo,Premium,None,Y
Ford,Fusion FWD,27.1647,Automatic,6,FWD,1.5,4,Midsize,Y,Turbo,Regular,None,Y
MINI,Cooper S Countryman,27.5119,Manual,7,FWD,2,4,Midsize,Y,Turbo,Premium,None,N
Chevrolet,Silverado 2WD,26.5885,Automatic,10,RWD,3,6,Std Pickup Truck,N,Turbo,Diesel,Diesel,Y
Chevrolet,Silverado 2WD,16.9515,Automatic,6,RWD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,N
GMC,Sierra 2WD,17,Automatic,6,RWD,4.3,6,Std Pickup Truck,Y,Natural,Regular,None,N
GMC,Sierra 2WD,25.9462,Automatic,10,RWD,3,6,Std Pickup Truck,N,Turbo,Diesel,Diesel,Y
GMC,Sierra 2WD,16.307,Automatic,6,RWD,5.3,8,Std Pickup Truck,Y,Natural,Regular,FFV,N
GMC,Sierra 2WD,21.0999,Automatic,8,RWD,2.7,4,Std Pickup Truck,Y,Turbo,Regular,None,Y
Chevrolet,Silverado 4WD TrailBoss,18.2856,Automatic,8,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,Y
Chevrolet,Silverado 4WD,18.635,Automatic,10,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,Y
GMC,Sierra 4WD AT4,18.2856,Automatic,8,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,Y
GMC,Sierra 4WD,16.79,Automatic,6,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,N
